"organization_id","industry","has_foreign_founder","has_us_founder","company_structure","venture_capital_investors","region_or_state","country","the_month","available_balance","debit_card_spend_that_month"
"0bbe8d52-62bd-11e9-9493-0b2508213ad9","enterprise","false","true","CCorp","[New Enterprise Associates (NEA), CRV, Matrix Partners]","CA","US","2020-03-01T00:00:00.000Z","null","null"
"0ac67b4e-c58c-11e9-92ae-1f0d1396ce64","enterprise","false","true","LLC","null","FL","US","2020-02-01T00:00:00.000Z","null","null"
"14c8741a-a8d3-11e9-be03-8b3d41ef4117","education","false","true","LLC","null","SD","US","2020-04-01T00:00:00.000Z","null","281.05"
"0f2f4206-668c-11e9-84c3-eb8d8edf7971","real_estate","false","true","LLC","null","MN","US","2020-04-01T00:00:00.000Z","null","null"
"01ca1004-7812-11e9-9877-0ffcd45c506c","consulting","false","true","SCorp","[]","OR","US","2019-08-01T00:00:00.000Z","3473.05","null"
"1024c0e0-c34e-11e9-a06d-0386a75dae15","legal_services_including_law_firms","false","true","LLC","null","NY","US","2020-03-01T00:00:00.000Z","null","null"
"133cd088-8df2-11e9-9edf-eb45ef55ae0e","online_retailer","false","true","LLC","null","NY","US","2020-07-01T00:00:00.000Z","null","null"
"0467a8d4-9082-11e9-9422-03f483318041","education","false","true","LLC","null","NM","US","2020-03-01T00:00:00.000Z","null","null"
"085f310e-7ce7-11e9-a9f6-f3a4fd1a176b","consumer","false","true","CCorp","[]","MA","US","2019-10-01T00:00:00.000Z","null","275.00"
"08035942-8caa-11e9-b071-d3855478963e","other_food_services","false","true","CCorp","[]","CA","US","2019-06-01T00:00:00.000Z","150000.00","null"
"171ab36c-ad20-11e9-a3f4-9b093adc4c1b","marketing","false","true","LLC","null","NY","US","2019-07-01T00:00:00.000Z","null","null"
"14c8741a-a8d3-11e9-be03-8b3d41ef4117","education","false","true","LLC","null","SD","US","2019-08-01T00:00:00.000Z","237.71","158.99"
"06105d16-da29-11e9-a650-bfe183824cdf","consumer","false","true","CCorp","[]","CA","US","2019-09-01T00:00:00.000Z","50000.00","null"
"108f6c34-8964-11e9-b576-43f7b7eb8f13","real_estate","true","false","CCorp","null","CA","US","2019-05-01T00:00:00.000Z","null","null"
"0862e2a4-61c1-11e9-b28c-039081d050fe","b2b","false","true","LLC","null","NJ","US","2020-04-01T00:00:00.000Z","null","null"
"133cd088-8df2-11e9-9edf-eb45ef55ae0e","online_retailer","false","true","LLC","null","NY","US","2019-12-01T00:00:00.000Z","null","45.00"
"09e5913a-8ecb-11e9-bbc6-af3180fa14ba","crypto","false","true","CCorp","null","WI","US","2020-11-01T00:00:00.000Z","null","675.64"
"0f6843b8-ba32-11e9-967b-c3bdda69bb3a","enterprise","true","true","CCorp","[]","WY","US","2020-02-01T00:00:00.000Z","null","627.90"
"01a7a796-acae-11e9-bc96-43d31ea5b120","online_retailer","true","true","CCorp","null","CA","US","2020-10-01T00:00:00.000Z","null","null"
"023776b4-92f5-11e9-8034-a322c325e9c0","b2b","false","true","CCorp","[]","CA","US","2019-09-01T00:00:00.000Z","21327.50","102.11"
"0ac67b4e-c58c-11e9-92ae-1f0d1396ce64","enterprise","false","true","LLC","null","FL","US","2020-01-01T00:00:00.000Z","null","null"
"0d4041e8-666e-11e9-beaf-9f233a1886bc","online_retailer","true","false","LLC","null","CA","US","2020-02-01T00:00:00.000Z","null","null"
"16bfd6b0-cad3-11e9-99e7-a3f2a7a2814f","consulting","true","false","LLC","null","DE","US","2020-10-01T00:00:00.000Z","null","null"
"0738e100-aa6c-11e9-b227-f78419372a07","media","true","false","LLC","null","WY","US","2019-10-01T00:00:00.000Z","null","445.47"
"18f05820-c000-11e9-98fe-9399f63ea17c","marketing","true","false","CCorp","[]","CA","US","2020-01-01T00:00:00.000Z","null","630.62"
"0a9ccf42-b998-11e9-bf6b-0705444aa5fd","online_retailer","true","false","CCorp","null","FL","US","2020-11-01T00:00:00.000Z","null","1.99"
"19879b42-915f-11e9-85f1-3721e438006f","private_investment_companies","false","true","CCorp","null","OR","US","2019-08-01T00:00:00.000Z","null","null"
"08d1307c-9cce-11e9-a143-2f4e2012784c","online_retailer","false","true","LLC","null","NM","US","2020-06-01T00:00:00.000Z","null","9539.36"
"0de17d1a-70a0-11e9-903f-f35e3f544ad6","crypto","true","false","CCorp","[]","NY","US","2019-11-01T00:00:00.000Z","null","1677.32"
"0b523ea6-98f3-11e9-966f-9f10425b8a60","accounting_and_tax_preparation","false","true","LLC","[]","CA","US","2020-11-01T00:00:00.000Z","null","null"
"0738e100-aa6c-11e9-b227-f78419372a07","media","true","false","LLC","null","WY","US","2020-07-01T00:00:00.000Z","null","350.28"
"0fa1b4c0-6179-11e9-a607-07e1e37cf096","employment_services","false","true","LLC","null","CA","US","2020-02-01T00:00:00.000Z","null","null"
"0f6843b8-ba32-11e9-967b-c3bdda69bb3a","enterprise","true","true","CCorp","[]","WY","US","2020-03-01T00:00:00.000Z","null","136.48"
"19714752-9c27-11e9-a812-67c32e61aef1","advertising","true","false","LLC","null","CA","US","2020-01-01T00:00:00.000Z","null","40.44"
"14c8f02a-a018-11e9-a0a5-8f1b5f021e17","b2b","false","true","CCorp","[]","TX","US","2020-10-01T00:00:00.000Z","null","null"
"02214d92-622d-11e9-97c7-ff73912d0cd0","other","false","true","LLC","null","WA","US","2020-03-01T00:00:00.000Z","null","null"
"0d66757e-c821-11e9-8d6d-cfe3c18c0366","online_retailer","true","false","LLC","null","NY","US","2020-07-01T00:00:00.000Z","null","2692.72"
"0de84290-623a-11e9-8c57-2f863d1a93cf","marketplace","false","true","CCorp","null","CA","US","2019-05-01T00:00:00.000Z","1500.00","null"
"0738e100-aa6c-11e9-b227-f78419372a07","media","true","false","LLC","null","WY","US","2020-06-01T00:00:00.000Z","null","994.53"
"11938f26-a402-11e9-ae0b-13a4db26d42d","nonprofit","false","true","NonProfit","null","NJ","US","2020-04-01T00:00:00.000Z","null","null"
"0de17d1a-70a0-11e9-903f-f35e3f544ad6","crypto","true","false","CCorp","[]","NY","US","2020-11-01T00:00:00.000Z","null","null"
"115c393c-d4b7-11e9-a103-e3280015e2c9","entertainment","false","true","LLC","null","PA","US","2019-12-01T00:00:00.000Z","null","null"
"028c55d6-615d-11e9-93d6-1759ea5444f8","healthcare","false","true","CCorp","[Social Capital (SoCap)]","CA","US","2019-10-01T00:00:00.000Z","null","null"
"115c393c-d4b7-11e9-a103-e3280015e2c9","entertainment","false","true","LLC","null","PA","US","2020-01-01T00:00:00.000Z","null","null"
"02fbd4a8-9b0d-11e9-9e8e-63df727347f9","consumer","false","true","LLC","null","TX","US","2020-06-01T00:00:00.000Z","null","72.58"
